MyDate	URL
01.10.2009 http://www.popularmechanics.com/technology/engineering/4216588
23.11.2009 http://www.google.com/hostednews/afp/article/ALeqM5i7LqFUZh7nPOPle0oumzj2plGoLw
02.09.2010 http://encyclopediadramatica.com/Large_Hadron_Collider
26.08.2010 http://www.readwriteweb.com/enterprise/2010/08/lhc-couchdb.php
20.04.2010 http://www2.scholastic.com/browse/article.jsp?id=3754115
17.04.2010 http://phreakaholic.com/news/iceland-volcanos-name-eyjafjallajokull-pronunciation/
23.04.2010 http://www.suite101.com/content/the-eyjafjallajokull-volcano-in-southern-iceland-some-facts-a228279
10.05.2010 http://www.realtruth.org/articles/100430-001-weather.html
22.04.2010 http://www.indyposted.com/18919/second-bigger-iceland-volcano-set-to-explode-soon-say-experts/
10.11.2009 http://www.nodch.de/twitter-und-google-wave/1265
01.10.2009 http://twittersmash.com/follower-tipp-google-wave-einladung/
16.10.2009 http://tobiasbischoff.com/2009/10/google-wave-erste-schritte/
28.04.2008 http://www.sf-fan.de/kinoposter/kinoposter-zu-batman--the-dark-knight-2008.html
25.09.2009 http://bluray.highdefdigest.com/1825/darkknight.html
26.10.2009 http://www.thunderfire.org/3465-the-dark-knight-2-disc-special-edition-blu-ray/
02.07.2008 http://my.spill.com/profiles/blog/show?id=947994:BlogPost:355506
20.09.2008 http://www.c0t0d0s0.org/archives/4840-The-dark-knight.html
06.03.2008 http://www.disabled-world.com/health/cancer/pancreatic/patrick-swayze.php
16.09.2009 http://www.pcworld.com/article/172074/internet_scammers_leap_on_patrick_swayzes_death.html
10.02.2009 http://www.welt.de/english-news/article3178664/Patrick-Swayze-fights-for-cancer-research-funding.html
17.09.2009 http://www.cracked.com/blog/tribute-to-patrick-swayze-2nd-best-film-star-of-all-time/
02.03.2010 http://www.facebook.com/note.php?note_id=381280714851
15.07.2010 http://www.vanityfair.com/online/oscars/2010/07/25-questions-can-you-enjoy-inception-if-youre-not-very-smart.html
29.07.2010 http://www.abendblatt.de/kultur-live/article1578873/Science-Fiction-Thriller-Inception-Alles-nur-getraeumt.html
23.07.2010 http://www.savagechickens.com/2010/07/inception.html
14.07.2010 http://www.hollywood.com/review/Inception/7009482
16.07.2010 http://mubi.com/notebook/posts/2068
05.07.2009 http://www.kilrathy.net/sites/appsync-und-installos-auf-dem-iphone-3g-s.html
23.09.2009 http://www.hack2learn.org/howto-downgrade-iphone-3g-baseband
01.01.2009 http://www.macblogpro.de/unlock-iphone-3g/
17.09.2009 http://www.m4gic.net/t-mobile-bietet-das-iphone-3g-gebraucht-als-refurbished-gerat-an/
16.06.2009 http://www.gebloggt.eu/apple-stellt-das-iphone-3g-s-vor/213/
20.08.2010 http://download.cnet.com/Kaspersky-Internet-Security/3000-18510_4-10012072.html
30.09.2010 http://fileforum.betanews.com/detail/Kaspersky-Rescue-Disk/1213647614/1
29.09.2010 http://majorgeeks.com/Kaspersky_Virus_Removal_Tool_d4515.html
26.08.2009 http://www.blogsdna.com/4495/download-kaspersky-antivirus-2010-with-free-license-key-for-90-days.htm
06.08.2010 http://www.symantec.com/connect/blogs/stuxnet-introduces-first-known-rootkit-scada-devices
25.09.2010 http://derstandard.at/1285199237251/Wurm-Stuxnet-Iran-massiver-Cyber-Attacke-ausgesetzt
24.09.2010 http://www.niwis.com/showthread.php?6713-Stuxnet-Before-the-.lnk-File-Vulnerability
24.09.2010 http://isc.sans.edu/diary.html?storyid=9601
25.09.2010 http://blogs.securiteam.com/index.php/archives/1447
24.07.2010 http://www.precisesecurity.com/threats/worms/w32-stuxnet/
22.01.2004 http://searchenginewatch.com/3302741
09.03.2006 http://www.searchenginejournal.com/why-brazil-loves-orkut/3082/
25.09.2010 http://techcrunch.com/2010/09/25/born-sabado/
30.06.2004 http://www.wired.com/techbiz/media/news/2004/06/64046
26.09.2007 http://devilsworkshop.org/new-orkut-scripts-scrap-all-friends-with-single-click-send-images-flash-audio-video-more/
23.08.2010 http://article.wn.com/view/2010/08/23/Spanish_aid_workers_freed_by_Al_Qaeda_in_Mali/
02.09.2004 http://www.v3.co.uk/vnunet/news/2125772/scientists-fire-world-largest-grid
22.06.2010 http://lhcsound.wordpress.com/2010/06/22/worm-vs-the-large-hadron-collider/
