1287754680000;"why are moco's republicans so ridiculous?";"http://www.justupthepike.com/2010/10/why-are-mocos-republicans-so-ridiculous.html";6799;1357;25
1287753060000;"when kids tell the story, kids listen";"http://www.justupthepike.com/2010/10/when-kids-tell-story-kids-listen.html";3905;1357;25
1287579600003;"to make an omelet, you have to crack a few eggs (updated)";"http://www.justupthepike.com/2010/10/to-make-omelet-you-have-to-crack-few.html";7456;1357;25
1287408900001;"why are all the poor kids sitting together in the cafeteria?";"http://www.justupthepike.com/2010/10/why-are-all-poor-kids-sitting-together.html";6782;1357;25
1286901120006;"ode to a stolen bike";"http://www.justupthepike.com/2010/10/ode-to-stolen-bike.html";5472;1357;25
1286889840000;"what's up the pike: miss you already";"http://www.justupthepike.com/2010/10/whats-up-pike-miss-you-already.html";5583;1357;25
1286545860006;"we used to wait";"http://www.justupthepike.com/2010/10/we-used-to-wait.html";4874;1357;25
1286372400001;"two quotes";"http://www.justupthepike.com/2010/10/two-quotes.html";7403;1357;25
1286285940068;"what's up the pike: procrastination edition";"http://www.justupthepike.com/2010/10/whats-up-pike-procrastination-edition.html";6239;1357;25
1285853100001;"photos, new and old";"http://www.justupthepike.com/2010/09/photos-new-and-old.html";8251;1357;25
1285767540000;"what's up the pike: under the bridge downtown . . .";"http://www.justupthepike.com/2010/09/whats-up-pike-under-bridge-downtown.html";5317;1357;25
1285593900000;"whither walter reed?";"http://www.justupthepike.com/2010/09/whither-walter-reed.html";6071;1357;25
1285336380003;"what's up the pike: everything old is new again (and again)";"http://www.justupthepike.com/2010/09/whats-up-pike-everything-old-is-new.html";7456;1357;25
1285161540000;"what's up the pike: try the special at nathan's diner";"http://www.justupthepike.com/2010/09/whats-up-pike-try-special-at-nathans.html";7594;1357;25
1285075800000;"mapping racial & ethnic integration in montgomery county";"http://www.justupthepike.com/2010/09/mapping-racial-ethnic-integration-in.html";6986;1357;25
1285021080001;"kojo comes to silver spring tomorrowputSemicolonHere i met vince gray, sort of";"http://www.justupthepike.com/2010/09/kojo-comes-to-silver-spring-tonight-i.html";4825;1357;25
1284730200008;"hyattsville = U street, or how to sell rowhouses in the suburbs";"http://www.justupthepike.com/2010/09/hyattsville-u-street-or-how-to-sell.html";8665;1357;25
1284643500030;"what's up the pike: so nice, we had to do it twice (updated)";"http://www.justupthepike.com/2010/09/whats-up-pike-so-nice-we-had-to-do-it.html";8144;1357;25
1284557400008;"what's up the pike: it's all over now";"http://www.justupthepike.com/2010/09/whats-up-pike-its-all-over-now.html";4726;1357;25
1284469200000;"mailed my absentee ballot today";"http://www.justupthepike.com/2010/09/mailed-my-absentee-ballot-today.html";8389;1357;25
1284039300000;"what's up the pike: third day of school . . .";"http://www.justupthepike.com/2010/09/whats-up-pike-third-day-of-school.html";5059;1357;25
1283865900000;"fenton street market moves to veterans plaza";"http://www.justupthepike.com/2010/09/fenton-street-market-moves-to-veterans.html";6532;1357;25
1283435040002;"'flash mob' of potomac kids converges on wheaton plaza, sells shoes";"http://www.justupthepike.com/2010/09/flash-mob-of-potomac-kids-converges-on.html";4504;1357;25
1283348100003;"random photo time!";"http://www.justupthepike.com/2010/09/random-photo-time.html";6323;1357;25
1283175240000;"what's up the pike: blast off!";"http://www.justupthepike.com/2010/08/whats-up-pike-blast-off.html";5266;1357;25
1282916100002;"what I like about you, new home in west philadelphia";"http://www.justupthepike.com/2010/08/what-i-like-about-you-new-home-in-west.html";7293;1357;25
1282743540053;"what's up the pike: excess links";"http://www.justupthepike.com/2010/08/whats-up-pike-excess-links.html";9091;1357;25
1282570620017;"and we're back.";"http://www.justupthepike.com/2010/08/and-were-back.html";6700;1357;25
1281715200000;"veterans plaza needs fewer rules, not more, to keep it alive";"http://www.justupthepike.com/2010/08/veterans-plaza-needs-fewer-rules-not.html";10710;1357;25
1281712200001;"take a deep breath, y'all";"http://www.justupthepike.com/2010/08/take-deep-breath-yall.html";3039;1357;25
1281542400002;"skaters discuss woodside skate spot, need for more places to go";"http://www.justupthepike.com/2010/08/skaters-discuss-woodside-skate-spot.html";3109;1357;25
1281372180003;"iPhones repaired here - but no photos, please";"http://www.justupthepike.com/2010/08/iphones-repaired-here-but-no-photos.html";7088;1357;25
1281361020000;"what's up the pike: museum of idiots";"http://www.justupthepike.com/2010/08/whats-up-pike-museum-of-idiots.html";6328;1357;25
